"","x"
"1","i"
"2","me"
"3","my"
"4","myself"
"5","you"
"6","your"
"7","yours"
"8","yourself"
"9","yourselves"
"10","himself"
"11","hers"
"12","it"
"13","its"
"14","they"
"15","their"
"16","theirs"
"17","what"
"18","which"
"19","whom"
"20","this"
"21","that"
"22","these"
"23","those"
"24","am"
"25","is"
"26","are"
"27","was"
"28","were"
"29","be"
"30","been"
"31","being"
"32","have"
"33","has"
"34","had"
"35","having"
"36","do"
"37","does"
"38","doing"
"39","would"
"40","ought"
"41","i'm"
"42","you're"
"43","he's"
"44","she's"
"45","it's"
"46","we're"
"47","they're"
"48","i've"
"49","you've"
"50","we've"
"51","they've"
"52","i'd"
"53","you'd"
"54","he'd"
"55","she'd"
"56","we'd"
"57","they'd"
"58","i'll"
"59","you'll"
"60","he'll"
"61","she'll"
"62","we'll"
"63","they'll"
"64","hasn't"
"65","haven't"
"66","hadn't"
"67","won't"
"68","wouldn't"
"69","shan't"
"70","shouldn't"
"71","couldn't"
"72","mustn't"
"73","let's"
"74","that's"
"75","who's"
"76","what's"
"77","here's"
"78","there's"
"79","when's"
"80","where's"
"81","why's"
"82","how's"
"83","a"
"84","an"
"85","the"
"86","and"
"87","if"
"88","or"
"89","because"
"90","as"
"91","while"
"92","of"
"93","at"
"94","by"
"95","for"
"96","with"
"97","about"
"98","between"
"99","into"
"100","through"
"101","during"
"102","before"
"103","above"
"104","to"
"105","from"
"106","up"
"107","down"
"108","in"
"109","out"
"110","on"
"111","off"
"112","once"
"113","here"
"114","there"
"115","when"
"116","where"
"117","how"
"118","all"
"119","both"
"120","each"
"121","few"
"122","more"
"123","most"
"124","other"
"125","some"
"126","such"
"127","only"
"128","own"
"129","so"
"130","than"
"131","too"
"132","very"
"133","us"
"134","just"
"135","order"
"136","ordered"
"137","go"
"138","went"
"139","get"
"140","got"
"141","going"
"142","even"
"143","people"
"144","can"
"145","restaurant"
"146","will"
"147","would"
"148","also"
"149","too"
"150","one"
"151","1"
"152","2"
"153","3"
"154","4"
"155","5"
"156","6"
"157","7"
"158","8"
"159","9"
"160","10"
"161","11"
"162","12"
"163","13"
"164","14"
"165","15"
"166","16"
"167","17"
"168","18"
"169","19"
"170","20"
"171","21"
"172","22"
"173","23"
"174","24"
"175","25"
"176","26"
"177","27"
"178","28"
"179","29"
"180","30"
"181","31"
"182","32"
"183","33"
"184","34"
"185","35"
"186","36"
"187","37"
"188","38"
"189","39"
"190","40"
"191","41"
"192","42"
"193","43"
"194","44"
"195","45"
"196","46"
"197","47"
"198","48"
"199","49"
"200","50"
"201","51"
"202","52"
"203","53"
"204","54"
"205","55"
"206","56"
"207","57"
"208","58"
"209","59"
"210","60"
"211","61"
"212","62"
"213","63"
"214","64"
"215","65"
"216","66"
"217","67"
"218","68"
"219","69"
"220","70"
"221","71"
"222","72"
"223","73"
"224","74"
"225","75"
"226","76"
"227","77"
"228","78"
"229","79"
"230","80"
"231","81"
"232","82"
"233","83"
"234","84"
"235","85"
"236","86"
"237","87"
"238","88"
"239","89"
"240","90"
"241","91"
"242","92"
"243","93"
"244","94"
"245","95"
"246","96"
"247","97"
"248","98"
"249","99"
"250","100"
"251","one"
"252","two"
"253","three"
